SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,01,000,00000,00000,00000,0,A,Alabama,Alabama,5025369,5033094,5049196,5076181,5117673,5157699
162,01,000,00124,00000,00000,0,A,Abbeville city,Alabama,2349,2349,2329,2328,2337,2370
162,01,000,00460,00000,00000,0,A,Adamsville city,Alabama,4393,4381,4315,4251,4204,4181
162,01,000,00484,00000,00000,0,A,Addison town,Alabama,661,659,665,670,669,676
162,01,000,00676,00000,00000,0,A,Akron town,Alabama,229,228,229,226,229,233
162,01,000,00820,00000,00000,0,A,Alabaster city,Alabama,33342,33401,33723,33870,34166,34460
162,01,000,00988,00000,00000,0,A,Albertville city,Alabama,22402,22420,22542,22784,23126,23392
162,01,000,01132,00000,00000,0,A,Alexander City city,Alabama,14855,14831,14698,14612,14481,14439
162,01,000,01228,00000,00000,0,A,Aliceville city,Alabama,2173,2165,2127,2084,2074,2038
162,01,000,01396,00000,00000,0,A,Allgood town,Alabama,542,541,542,547,553,556
162,01,000,01660,00000,00000,0,A,Altoona town,Alabama,954,954,951,950,952,955
162,01,000,01708,00000,00000,0,A,Andalusia city,Alabama,8839,8842,8795,8742,8785,8728
162,01,000,01756,00000,00000,0,A,Anderson town,Alabama,253,253,254,256,256,257
162,01,000,01852,00000,00000,0,A,Anniston city,Alabama,21567,21520,21355,21195,21182,21127
162,01,000,02116,00000,00000,0,A,Arab city,Alabama,8437,8444,8486,8625,8844,8918
162,01,000,02260,00000,00000,0,A,Ardmore town,Alabama,1321,1334,1369,1395,1422,1452
162,01,000,02320,00000,00000,0,A,Argo city,Alabama,4393,4395,4400,4373,4372,4369
162,01,000,02428,00000,00000,0,A,Ariton town,Alabama,657,656,657,657,662,664
162,01,000,02500,00000,00000,0,A,Arley town,Alabama,327,326,329,332,332,333
162,01,000,02836,00000,00000,0,A,Ashford city,Alabama,2253,2255,2262,2278,2339,2397
162,01,000,02860,00000,00000,0,A,Ashland town,Alabama,1987,1981,1962,1958,1936,1945
162,01,000,02908,00000,00000,0,A,Ashville city,Alabama,2349,2354,2376,2372,2370,2402
162,01,000,02956,00000,00000,0,A,Athens city,Alabama,25434,25733,27070,28648,30946,32587
162,01,000,03004,00000,00000,0,A,Atmore city,Alabama,8394,8375,8344,8320,8323,8310
162,01,000,03028,00000,00000,0,A,Attalla city,Alabama,5832,5829,5749,5796,5750,5746
162,01,000,03076,00000,00000,0,A,Auburn city,Alabama,76585,77066,79275,80498,82447,83757
162,01,000,03220,00000,00000,0,A,Autaugaville town,Alabama,786,787,787,794,804,815
162,01,000,03364,00000,00000,0,A,Avon town,Alabama,464,466,467,474,474,473
162,01,000,03556,00000,00000,0,A,Babbie town,Alabama,631,629,631,633,639,639
162,01,000,03676,00000,00000,0,A,Baileyton town,Alabama,650,653,665,675,684,690
162,01,000,03724,00000,00000,0,A,Bakerhill town,Alabama,215,215,212,208,208,204
162,01,000,03940,00000,00000,0,A,Banks town,Alabama,155,155,155,157,158,159
162,01,000,04660,00000,00000,0,A,Bay Minette city,Alabama,8098,8120,8216,8272,8378,8505
162,01,000,04684,00000,00000,0,A,Bayou La Batre city,Alabama,2181,2178,2163,2142,2132,2124
162,01,000,04852,00000,00000,0,A,Bear Creek town,Alabama,1038,1038,1037,1043,1046,1052
162,01,000,04900,00000,00000,0,A,Beatrice town,Alabama,205,204,202,201,199,196
162,01,000,04948,00000,00000,0,A,Beaverton town,Alabama,185,185,181,181,181,180
162,01,000,05164,00000,00000,0,A,Belk town,Alabama,187,187,186,186,187,187
162,01,000,05692,00000,00000,0,A,Benton town,Alabama,41,41,39,38,38,37
162,01,000,05812,00000,00000,0,A,Berlin town,Alabama,501,504,512,520,527,531
162,01,000,05932,00000,00000,0,A,Berry town,Alabama,1211,1211,1198,1196,1184,1182
162,01,000,05980,00000,00000,0,A,Bessemer city,Alabama,26070,26018,25598,25229,25019,25079
162,01,000,06460,00000,00000,0,A,Billingsley town,Alabama,129,129,128,127,127,128
162,01,000,07000,00000,00000,0,A,Birmingham city,Alabama,200542,200270,197645,196898,196818,196357
162,01,000,07120,00000,00000,0,A,Black town,Alabama,226,226,229,233,236,241
162,01,000,07456,00000,00000,0,A,Blountsville town,Alabama,1829,1827,1825,1822,1820,1820
162,01,000,07672,00000,00000,0,A,Blue Springs town,Alabama,83,83,82,82,81,79
162,01,000,07912,00000,00000,0,A,Boaz city,Alabama,10104,10112,10170,10302,10391,10473
162,01,000,08104,00000,00000,0,A,Boligee town,Alabama,300,298,293,285,281,270
162,01,000,08248,00000,00000,0,A,Bon Air town,Alabama,171,171,169,167,167,168
162,01,000,09016,00000,00000,0,A,Brantley town,Alabama,824,822,811,808,807,801
162,01,000,09136,00000,00000,0,A,Brent city,Alabama,4173,4089,4035,4003,3862,4074
162,01,000,09208,00000,00000,0,A,Brewton city,Alabama,5270,5254,5208,5184,5151,5129
162,01,000,09328,00000,00000,0,A,Bridgeport city,Alabama,2265,2262,2258,2251,2263,2267
162,01,000,09400,00000,00000,0,A,Brighton city,Alabama,2336,2331,2298,2272,2253,2245
162,01,000,09424,00000,00000,0,A,Brilliant town,Alabama,837,835,834,835,836,839
162,01,000,09736,00000,00000,0,A,Brookside town,Alabama,1246,1243,1227,1211,1199,1357
162,01,000,09808,00000,00000,0,A,Brookwood town,Alabama,2503,2500,2475,2459,2449,2453
162,01,000,10240,00000,00000,0,A,Brundidge city,Alabama,2072,2067,2048,2035,2035,2028
162,01,000,11032,00000,00000,0,A,Butler town,Alabama,1868,1860,1833,1801,1767,1726
162,01,000,11416,00000,00000,0,A,Calera city,Alabama,16482,16626,17392,17877,18251,18530
162,01,000,11512,00000,00000,0,A,Camden city,Alabama,1861,1848,1808,1746,1701,1695
162,01,000,11680,00000,00000,0,A,Camp Hill town,Alabama,1004,1002,993,982,971,965
162,01,000,12016,00000,00000,0,A,Carbon Hill city,Alabama,1764,1757,1725,1721,1731,1723
162,01,000,12040,00000,00000,0,A,Cardiff town,Alabama,57,57,56,55,55,57
162,01,000,12160,00000,00000,0,A,Carolina town,Alabama,286,285,288,289,293,293
162,01,000,12304,00000,00000,0,A,Carrollton town,Alabama,1020,1016,1002,989,979,968
162,01,000,12496,00000,00000,0,A,Castleberry town,Alabama,487,485,473,468,465,460
162,01,000,12760,00000,00000,0,A,Cedar Bluff town,Alabama,1834,1835,1852,1873,1895,1932
162,01,000,13264,00000,00000,0,A,Center Point city,Alabama,16354,16322,16088,15852,15697,15603
162,01,000,13648,00000,00000,0,A,Centre city,Alabama,3601,3605,3604,3648,3788,3845
162,01,000,13672,00000,00000,0,A,Centreville city,Alabama,2795,2788,2793,2723,2712,2721
162,01,000,14008,00000,00000,0,A,Chatom town,Alabama,1098,1095,1088,1075,1061,1056
162,01,000,14104,00000,00000,0,A,Chelsea city,Alabama,15117,15238,15737,16237,16826,17293
162,01,000,14152,00000,00000,0,A,Cherokee town,Alabama,972,972,969,965,965,967
162,01,000,14202,00000,00000,0,A,Cherokee Ridge town,Alabama,324,324,324,327,329,332
