statefp,placefp,city_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01,64152,Rehobeth,,,,,2025-11-04
01,00460,Adamsville,,,,,2025-11-04
01,81720,Wetumpka,,,,,2025-11-04
01,17176,Coosada,,,,,2025-11-04
01,28552,Fultondale,,,,,2025-11-04
01,34024,Helena,,,,,2025-11-04
01,39856,Kimberly,,,,,2025-11-04
01,41968,Leeds,,,,,2025-11-04
01,48376,Midfield,,,,,2025-11-04
01,51696,Mountain Brook,,,,,2025-11-04
01,09736,Brookside,,,,,2025-11-04
01,23656,Elmore,,,,,2025-11-04
01,55152,North Johns,,,,,2025-11-04
01,45904,Madrid,,,,,2025-11-04
01,29392,Geiger,,,,,2025-11-04
01,25816,Faunsdale,,,,,2025-11-04
01,22816,Eclectic,,,,,2025-11-04
01,57120,Opp,,,,,2025-11-04
01,24880,Excel,,,,,2025-11-04
01,62328,Prattville,,,,,2025-11-04
01,50192,Monroeville,,,,,2025-11-04
01,79272,Vredenburgh,,,,,2025-11-04
01,02116,Arab,,,,,2025-11-04
01,32416,Guntersville,,,,,2025-11-04
01,48808,Millport,,,,,2025-11-04
01,78480,Vernon,,,,,2025-11-04
01,48712,Millbrook,,,,,2025-11-04
01,73728,Sulligent,,,,,2025-11-04
01,67176,Rutledge,,,,,2025-11-04
01,35200,Hodges,,,,,2025-11-04
01,59496,Phil Campbell,,,,,2025-11-04
01,20392,Detroit,,,,,2025-11-04
01,13264,Center Point,,,,,2025-11-04
01,78984,Vina,,,,,2025-11-04
01,07120,Black,,,,,2025-11-04
01,16240,Coffee Springs,,,,,2025-11-04
01,32896,Hammondville,,,,,2025-11-04
01,25384,Fairview,,,,,2025-11-04
01,30496,Good Hope,,,,,2025-11-04
01,25120,Fairfield,,,,,2025-11-04
01,52848,Munford,,,,,2025-11-04
01,23176,Edwardsville,,,,,2025-11-04
01,63408,Ranburne,,,,,2025-11-04
01,33976,Heflin,,,,,2025-11-04
01,74304,Sweet Water,,,,,2025-11-04
01,43744,Loachapoka,,,,,2025-11-04
01,42160,Leighton,,,,,2025-11-04
01,35560,Holly Pond,,,,,2025-11-04
01,14152,Cherokee,,,,,2025-11-04
01,43648,Littleville,,,,,2025-11-04
01,29032,Garden City,,,,,2025-11-04
01,03676,Baileyton,,,,,2025-11-04
01,16684,Colony,,,,,2025-11-04
01,20955,Dodge City,,,,,2025-11-04
01,09208,Brewton,,,,,2025-11-04
01,46768,Marion,,,,,2025-11-04
01,77904,Uniontown,,,,,2025-11-04
01,57240,Orrville,,,,,2025-11-04
01,78232,Valley Grande,,,,,2025-11-04
01,77280,Tuscumbia,,,,,2025-11-04
01,31720,Greensboro,,,,,2025-11-04
01,00676,Akron,,,,,2025-11-04
01,10240,Brundidge,,,,,2025-11-04
01,53784,Newbern,,,,,2025-11-04
01,42808,Libertyville,,,,,2025-11-04
01,11416,Calera,,,,,2025-11-04
01,16264,Coffeeville,,,,,2025-11-04
01,69648,Sheffield,,,,,2025-11-04
01,71190,Smiths Station,,,,,2025-11-04
01,67056,Russellville,,,,,2025-11-04
01,28504,Fulton,,,,,2025-11-04
01,68016,Sanford,,,,,2025-11-04
01,37096,Hurtsboro,,,,,2025-11-04
01,03004,Atmore,,,,,2025-11-04
01,14464,Childersburg,,,,,2025-11-04
01,74592,Talladega,,,,,2025-11-04
01,84096,York,,,,,2025-11-04
01,30160,Glenwood,,,,,2025-11-04
01,63576,Red Bay,,,,,2025-11-04
01,32080,Grove Hill,,,,,2025-11-04
01,01228,Aliceville,,,,,2025-11-04
01,30736,Gordo,,,,,2025-11-04
01,59472,Phenix City,,,,,2025-11-04
01,48424,Midway,,,,,2025-11-04
01,75096,Taylor,,,,,2025-11-04
01,02836,Ashford,,,,,2025-11-04
01,03364,Avon,,,,,2025-11-04
01,15136,Clanton,,,,,2025-11-04
01,59328,Petrey,,,,,2025-11-04
01,32656,Haleburg,,,,,2025-11-04
01,80928,West Blocton,,,,,2025-11-04
01,39472,Kellyton,,,,,2025-11-04
01,60648,Pinson,,,,,2025-11-04
01,71900,South Vinemont,,,,,2025-11-04
01,81528,West Point,,,,,2025-11-04
01,46504,Maplesville,,,,,2025-11-04
01,53400,Nauvoo,,,,,2025-11-04
01,45496,McKenzie,,,,,2025-11-04
01,12496,Castleberry,,,,,2025-11-04
01,02500,Arley,,,,,2025-11-04
01,65208,Robertsdale,,,,,2025-11-04
01,25240,Fairhope,,,,,2025-11-04
01,38152,Jackson,,,,,2025-11-04
01,75960,Thomasville,,,,,2025-11-04
01,53016,Muscle Shoals,,,,,2025-11-04
01,78204,Valley,,,,,2025-11-04
01,55044,North Courtland,,,,,2025-11-04
01,53856,New Brockton,,,,,2025-11-04
01,58272,Parrish,,,,,2025-11-04
01,70704,Sipsey,,,,,2025-11-04
01,20008,Deatsville,,,,,2025-11-04
01,40096,Kinston,,,,,2025-11-04
01,32224,Guin,,,,,2025-11-04
01,32560,Hackleburg,,,,,2025-11-04
01,33856,Headland,,,,,2025-11-04
01,26992,Foley,,,,,2025-11-04
01,44608,Loxley,,,,,2025-11-04
01,76920,Troy,,,,,2025-11-04
01,64368,Repton,,,,,2025-11-04
01,24808,Evergreen,,,,,2025-11-04
01,42352,Lester,,,,,2025-11-04
01,34480,Highland Lake,,,,,2025-11-04
01,53448,Nectar,,,,,2025-11-04
01,02956,Athens,,,,,2025-11-04
01,23296,Elba,,,,,2025-11-04
01,48052,Memphis,,,,,2025-11-04
01,59592,Pickensville,,,,,2025-11-04
01,66408,Rosa,,,,,2025-11-04
01,77352,Twin,,,,,2025-11-04
01,74616,Talladega Springs,,,,,2025-11-04
01,45640,McMullen,,,,,2025-11-04
01,53112,Myrtlewood,,,,,2025-11-04
01,62688,Providence,,,,,2025-11-04
01,75936,Thomaston,,,,,2025-11-04
01,43240,Linden,,,,,2025-11-04
01,72888,Steele,,,,,2025-11-04
01,58896,Pell City,,,,,2025-11-04
01,64104,Reform,,,,,2025-11-04
01,22216,East Brewton,,,,,2025-11-04
01,26824,Flomaton,,,,,2025-11-04
01,77304,Tuskegee,,,,,2025-11-04
01,07912,Boaz,,,,,2025-11-04
01,21328,Douglas,,,,,2025-11-04
01,68280,Sardis City,,,,,2025-11-04
01,65016,Riverview,,,,,2025-11-04
01,03076,Auburn,,,,,2025-11-04
01,83400,Woodland,,,,,2025-11-04
01,66216,Rogersville,,,,,2025-11-04
01,42640,Lexington,,,,,2025-11-04
01,46072,Magnolia Springs,,,,,2025-11-04
01,04684,Bayou La Batre,,,,,2025-11-04
01,33424,Hartford,,,,,2025-11-04
01,50000,Mobile,,,,,2025-11-04
01,68160,Saraland,,,,,2025-11-04
01,13648,Centre,,,,,2025-11-04
01,46696,Margaret,,,,,2025-11-04
01,56400,Odenville,,,,,2025-11-04
01,08104,Boligee,,,,,2025-11-04
01,24664,Eutaw,,,,,2025-11-04
01,14392,Chickasaw,,,,,2025-11-04
01,15256,Clay,,,,,2025-11-04
01,18040,Courtland,,,,,2025-11-04
01,38272,Jacksonville,,,,,2025-11-04
01,71832,Southside,,,,,2025-11-04
01,02908,Ashville,,,,,2025-11-04
01,56472,Ohatchee,,,,,2025-11-04
01,57000,Oneonta,,,,,2025-11-04
01,18976,Cullman,,,,,2025-11-04
01,27376,Forkland,,,,,2025-11-04
01,43888,Locust Fork,,,,,2025-11-04
01,32968,Hanceville,,,,,2025-11-04
01,57648,Ozark,,,,,2025-11-04
01,32056,Grimes,,,,,2025-11-04
01,19360,Daleville,,,,,2025-11-04
