geoid,statefp,countyfp,county_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
05111,05,111,Poinsett,496229.77279433917,231208.83801012285,467177.33555185137,260261.27525261062,2025-10-31
05037,05,037,Cross,451400.0637457952,291098.06406859885,655929.7079360683,86568.41987832577,2025-10-31
05107,05,107,Phillips,430347.92442645965,279912.4596138144,561348.3942404322,148911.9897998419,2025-10-31
05121,05,121,Randolph,316466.03298548923,261028.9859514075,397216.58794351853,180278.43099337816,2025-10-31
05075,05,075,Lawrence,658822.0022573501,399068.5173873839,626805.8052703884,431084.7143743456,2025-10-31
05021,05,021,Clay,624546.7021786941,392500.2999699762,564305.7050541112,452741.29709455906,2025-10-31
05045,05,045,Faulkner,1937590.1422772394,1056193.3977392684,2075966.0174742283,917817.5225422794,2025-10-31
05061,05,061,Howard,369114.09605913673,220524.40144007246,320152.80634748464,269485.6911517245,2025-10-31
05099,05,099,Nevada,109264.28117601431,93922.02258773186,142718.25474565232,60468.04901809385,2025-10-31
05009,05,009,Boone,437923.3765194791,313859.4914735061,551307.2700638971,200475.59792908805,2025-10-31
05093,05,093,Mississippi,1156046.6056647224,809812.7879321991,1096942.7258707713,868916.6677261502,2025-10-31
05087,05,087,Madison,281239.80735073006,0.0,258692.94975483877,22546.857595891284,2025-10-31
05065,05,065,Izard,343544.16747604957,0.0,307275.5796918828,36268.58778416674,2025-10-31
05035,05,035,Crittenden,1251573.2204893413,887514.6503239499,1272193.3369245024,866894.5338887887,2025-10-31
05139,05,139,Union,1053452.7504254007,292743.04351706,1097670.9914713905,248524.80247107032,2025-10-31
05103,05,103,Ouachita,481168.92423733673,455376.07331769133,551682.7391888731,384862.258366155,2025-10-31
05145,05,145,White,1810008.8368290092,928977.8149007035,1782957.8176442732,956028.8340854396,2025-10-31
05073,05,073,Lafayette,74047.30305561282,0.0,57353.79989920589,16693.50315640693,2025-10-31
05063,05,063,Independence,430234.3385687196,132330.02094328284,411631.14611616946,150933.21339583298,2025-10-31
05055,05,055,Greene,1663536.9075874418,682436.944648345,1996478.7481734946,349495.104062292,2025-10-31
05077,05,077,Lee,146258.01570584028,64983.17400228782,144315.2797064137,66925.9100017144,2025-10-31
05031,05,031,Craighead,4937262.90819256,3789440.0279909857,4762891.667303184,3963811.2688803617,2025-10-31
05143,05,143,Washington,17426018.883222707,14850606.126454549,18671315.050255056,13605309.959422197,2025-10-31
05149,05,149,Yell,973367.0448081747,1036816.7345616757,1646287.7465836704,363896.03278618003,2025-10-31
05147,05,147,Woodruff,173558.30905836914,0.0,132924.00221650192,40634.30684186722,2025-10-31
05051,05,051,Garland,1120812.6539586065,732140.2975244249,1244786.4696514227,608166.4818316086,2025-10-31
05001,05,001,Arkansas,467854.98884604004,404814.35477118834,490488.52874356444,382180.8148736639,2025-10-31
05081,05,081,Little River,249897.96117910297,9340.510740817803,217640.32373113543,41598.14818878536,2025-10-31
05013,05,013,Calhoun,85858.30754297023,0.0,67595.23271998262,18263.074822987604,2025-10-31
05085,05,085,Lonoke,901533.7344339846,473168.92439259304,920498.8801036802,454203.7787228975,2025-10-31
05011,05,011,Bradley,11243.805943273503,35303.89297376448,46547.69891703798,0.0,2025-10-31
05127,05,127,Scott,183887.25705552078,137733.23288421353,174452.86512831098,147167.62481142336,2025-10-31
05141,05,141,Van Buren,331406.84227742703,0.0,293717.91599926463,37688.9262781624,2025-10-31
05053,05,053,Grant,330385.9433929848,149949.2014383378,271602.1940408797,208732.95079044288,2025-10-31
05071,05,071,Johnson,384430.33247850486,128335.0230490068,370126.9694764511,142638.38605106057,2025-10-31
05125,05,125,Saline,2477881.6930707865,2117137.746070171,3287529.3644800233,1307490.0746609336,2025-10-31
