state_fips,placefp,city_name,area_m2_parks,date
04,55000,Phoenix,167091903.99590534,2025-10-30
48,35000,Houston,166205773.77838135,2025-10-30
47,52006,Nashville-Davidson metropolitan government (balance),114219401.40252689,2025-10-30
06,66000,San Diego,106222616.16782571,2025-10-30
06,44000,Los Angeles,90206238.67056534,2025-10-30
48,19000,Dallas,86907052.19917633,2025-10-30
36,51000,New York,84191741.13309878,2025-10-30
48,05000,Austin,65477416.59559837,2025-10-30
01,07000,Birmingham,64408284.33219671,2025-10-30
48,65000,San Antonio,62866339.99740912,2025-10-30
02,03000,Anchorage,62548232.296996266,2025-10-30
29,38000,Kansas City,59306663.40914844,2025-10-30
48,27000,Fort Worth,55647915.12010153,2025-10-30
21,48006,Louisville/Jefferson County metro government (balance),53985903.88784686,2025-10-30
39,18000,Columbus,49504897.46166301,2025-10-30
06,68000,San Jose,48581410.298535526,2025-10-30
37,55000,Raleigh,47206210.75957541,2025-10-30
35,02000,Albuquerque,46479651.40004154,2025-10-30
42,60000,Philadelphia,43992077.11810495,2025-10-30
04,28380,Goodyear,40814895.465203814,2025-10-30
04,04720,Avondale,40607139.16569766,2025-10-30
37,12000,Charlotte,39817744.17106213,2025-10-30
17,14000,Chicago,38702026.55297252,2025-10-30
12,35000,Jacksonville,38467115.24462706,2025-10-30
40,75000,Tulsa,34484771.77925092,2025-10-30
31,37000,Omaha,34013842.960342795,2025-10-30
08,04000,Aurora,33083409.982941855,2025-10-30
40,55000,Oklahoma City,30287280.96606557,2025-10-30
06,36770,Irvine,29369740.094343793,2025-10-30
19,21000,Des Moines,28882670.52920911,2025-10-30
08,43000,Lakewood,27787265.884332392,2025-10-30
04,64210,San Tan Valley,27427370.349795256,2025-10-30
04,77000,Tucson,27145587.592835613,2025-10-30
08,20000,Denver,27125315.473914437,2025-10-30
53,63000,Seattle,27101522.919417847,2025-10-30
06,78582,Thousand Oaks,25824136.376783922,2025-10-30
51,16000,Chesapeake,25429963.032689057,2025-10-30
13,04000,Atlanta,24715611.562083136,2025-10-30
06,26000,Fremont,24560128.5269604,2025-10-30
08,16000,Colorado Springs,23573754.603194576,2025-10-30
47,48000,Memphis,23269301.48538278,2025-10-30
06,64000,Sacramento,23180124.597833984,2025-10-30
06,03526,Bakersfield,22787055.284980543,2025-10-30
39,15000,Cincinnati,22552872.521203574,2025-10-30
06,30000,Glendale,21816435.296763692,2025-10-30
55,53000,Milwaukee,21609593.77966561,2025-10-30
27,43000,Minneapolis,21122804.163552426,2025-10-30
26,22000,Detroit,21057059.49909182,2025-10-30
47,14000,Chattanooga,21051970.87286061,2025-10-30
55,78650,Superior,20588780.460736375,2025-10-30
20,79000,Wichita,20548868.37642955,2025-10-30
05,41000,Little Rock,20344976.747577198,2025-10-30
24,04000,Baltimore,20054510.097267985,2025-10-30
55,48000,Madison,20051894.260492124,2025-10-30
12,58715,Port St. Lucie,19834520.567183215,2025-10-30
27,58000,St. Paul,19550138.32847394,2025-10-30
12,53000,Orlando,19115417.541318424,2025-10-30
51,82000,Virginia Beach,19036343.100585602,2025-10-30
06,60620,Richmond,18655460.284971595,2025-10-30
06,69088,Santa Clarita,18625929.32809876,2025-10-30
30,11397,Butte-Silver Bow (balance),18152812.63091088,2025-10-30
48,04000,Arlington,18130890.10060501,2025-10-30
06,72016,Simi Valley,17943721.589349862,2025-10-30
18,36003,Indianapolis city (balance),17844525.681675956,2025-10-30
47,41200,La Vergne,17633345.630034227,2025-10-30
06,22804,Escondido,17582156.120959856,2025-10-30
41,59000,Portland,17470562.041706253,2025-10-30
21,46027,Lexington-Fayette,17248608.332629614,2025-10-30
39,01000,Akron,17245702.696071684,2025-10-30
48,30464,Grand Prairie,16890219.19664307,2025-10-30
27,06616,Bloomington,16459867.806948764,2025-10-30
06,55282,Palo Alto,16295595.311747828,2025-10-30
06,33000,Hayward,16140697.871382143,2025-10-30
06,53000,Oakland,15947826.898491658,2025-10-30
31,28000,Lincoln,15855351.466104621,2025-10-30
32,40000,Las Vegas,15773188.573881755,2025-10-30
42,61000,Pittsburgh,15649179.68821324,2025-10-30
01,37000,Huntsville,15638374.33432367,2025-10-30
36,26121,Flanders,15603344.93604705,2025-10-30
48,24000,El Paso,15574512.532555912,2025-10-30
37,75000,Winston-Salem,15317975.605484972,2025-10-30
06,13014,Chico,15257248.332057275,2025-10-30
51,56000,Newport News,15195126.955916552,2025-10-30
47,39560,Kingsport,14766715.062040886,2025-10-30
51,11224,Bull Run,14466398.214723986,2025-10-30
29,65000,St. Louis,14455470.477064077,2025-10-30
06,67000,San Francisco,14369975.936069963,2025-10-30
39,08364,Brecksville,14074026.920238804,2025-10-30
28,46640,Meridian,14073974.143703993,2025-10-30
55,27300,Franklin,13956753.66411669,2025-10-30
12,70600,Tallahassee,13767639.639270589,2025-10-30
05,23290,Fayetteville,13766311.12950624,2025-10-30
48,58016,Plano,13749782.4739841,2025-10-30
25,07000,Boston,13666953.246659478,2025-10-30
21,48000,Louisville,13582429.762221025,2025-10-30
41,23850,Eugene,13535545.035147935,2025-10-30
37,28000,Greensboro,13369067.695236787,2025-10-30
06,62000,Riverside,12934986.209949676,2025-10-30
22,55000,New Orleans,12688840.53627477,2025-10-30
08,83835,Westminster,12575953.56578633,2025-10-30
48,69596,Spring,12494586.197626889,2025-10-30
53,01990,Anacortes,12359881.675653446,2025-10-30
48,29000,Garland,12124628.34928424,2025-10-30
48,48648,Mineola,11986301.99008494,2025-10-30
13,73784,Stonecrest,11916685.751909783,2025-10-30
