name_full,state,county
"Autauga County, Alabama",Alabama,Autauga County
"Baldwin County, Alabama",Alabama,Baldwin County
"Barbour County, Alabama",Alabama,Barbour County
"Bibb County, Alabama",Alabama,Bibb County
"Blount County, Alabama",Alabama,Blount County
"Bullock County, Alabama",Alabama,Bullock County
"Butler County, Alabama",Alabama,Butler County
"Calhoun County, Alabama",Alabama,Calhoun County
"Chambers County, Alabama",Alabama,Chambers County
"Cherokee County, Alabama",Alabama,Cherokee County
"Chilton County, Alabama",Alabama,Chilton County
"Choctaw County, Alabama",Alabama,Choctaw County
"Clarke County, Alabama",Alabama,Clarke County
"Clay County, Alabama",Alabama,Clay County
"Cleburne County, Alabama",Alabama,Cleburne County
"Coffee County, Alabama",Alabama,Coffee County
"Colbert County, Alabama",Alabama,Colbert County
"Conecuh County, Alabama",Alabama,Conecuh County
"Coosa County, Alabama",Alabama,Coosa County
"Covington County, Alabama",Alabama,Covington County
"Crenshaw County, Alabama",Alabama,Crenshaw County
"Cullman County, Alabama",Alabama,Cullman County
"Dale County, Alabama",Alabama,Dale County
"Dallas County, Alabama",Alabama,Dallas County
"DeKalb County, Alabama",Alabama,DeKalb County
"Elmore County, Alabama",Alabama,Elmore County
"Escambia County, Alabama",Alabama,Escambia County
"Etowah County, Alabama",Alabama,Etowah County
"Fayette County, Alabama",Alabama,Fayette County
"Franklin County, Alabama",Alabama,Franklin County
"Geneva County, Alabama",Alabama,Geneva County
"Greene County, Alabama",Alabama,Greene County
"Hale County, Alabama",Alabama,Hale County
"Henry County, Alabama",Alabama,Henry County
"Houston County, Alabama",Alabama,Houston County
"Jackson County, Alabama",Alabama,Jackson County
"Jefferson County, Alabama",Alabama,Jefferson County
"Lamar County, Alabama",Alabama,Lamar County
"Lauderdale County, Alabama",Alabama,Lauderdale County
"Lawrence County, Alabama",Alabama,Lawrence County
"Lee County, Alabama",Alabama,Lee County
"Limestone County, Alabama",Alabama,Limestone County
"Lowndes County, Alabama",Alabama,Lowndes County
"Macon County, Alabama",Alabama,Macon County
"Madison County, Alabama",Alabama,Madison County
"Marengo County, Alabama",Alabama,Marengo County
"Marion County, Alabama",Alabama,Marion County
"Marshall County, Alabama",Alabama,Marshall County
"Mobile County, Alabama",Alabama,Mobile County
"Monroe County, Alabama",Alabama,Monroe County
"Montgomery County, Alabama",Alabama,Montgomery County
"Morgan County, Alabama",Alabama,Morgan County
"Perry County, Alabama",Alabama,Perry County
"Pickens County, Alabama",Alabama,Pickens County
"Pike County, Alabama",Alabama,Pike County
"Randolph County, Alabama",Alabama,Randolph County
"Russell County, Alabama",Alabama,Russell County
"St. Clair County, Alabama",Alabama,St. Clair County
"Shelby County, Alabama",Alabama,Shelby County
"Sumter County, Alabama",Alabama,Sumter County
"Talladega County, Alabama",Alabama,Talladega County
"Tallapoosa County, Alabama",Alabama,Tallapoosa County
"Tuscaloosa County, Alabama",Alabama,Tuscaloosa County
"Walker County, Alabama",Alabama,Walker County
"Washington County, Alabama",Alabama,Washington County
"Wilcox County, Alabama",Alabama,Wilcox County
"Winston County, Alabama",Alabama,Winston County
"Aleutians East Borough, Alaska",Alaska,Aleutians East Borough
"Aleutians West Census Area, Alaska",Alaska,Aleutians West Census Area
"Anchorage Municipality, Alaska",Alaska,Anchorage Municipality
"Bethel Census Area, Alaska",Alaska,Bethel Census Area
"Bristol Bay Borough, Alaska",Alaska,Bristol Bay Borough
"Chugach Census Area, Alaska",Alaska,Chugach Census Area
"Copper River Census Area, Alaska",Alaska,Copper River Census Area
"Denali Borough, Alaska",Alaska,Denali Borough
"Dillingham Census Area, Alaska",Alaska,Dillingham Census Area
"Fairbanks North Star Borough, Alaska",Alaska,Fairbanks North Star Borough
"Haines Borough, Alaska",Alaska,Haines Borough
"Hoonah-Angoon Census Area, Alaska",Alaska,Hoonah-Angoon Census Area
"Juneau City and Borough, Alaska",Alaska,Juneau City and Borough
"Kenai Peninsula Borough, Alaska",Alaska,Kenai Peninsula Borough
"Ketchikan Gateway Borough, Alaska",Alaska,Ketchikan Gateway Borough
"Kodiak Island Borough, Alaska",Alaska,Kodiak Island Borough
"Kusilvak Census Area, Alaska",Alaska,Kusilvak Census Area
"Lake and Peninsula Borough, Alaska",Alaska,Lake and Peninsula Borough
"Matanuska-Susitna Borough, Alaska",Alaska,Matanuska-Susitna Borough
"Nome Census Area, Alaska",Alaska,Nome Census Area
"North Slope Borough, Alaska",Alaska,North Slope Borough
"Northwest Arctic Borough, Alaska",Alaska,Northwest Arctic Borough
"Petersburg Borough, Alaska",Alaska,Petersburg Borough
"Prince of Wales-Hyder Census Area, Alaska",Alaska,Prince of Wales-Hyder Census Area
"Sitka City and Borough, Alaska",Alaska,Sitka City and Borough
"Skagway Municipality, Alaska",Alaska,Skagway Municipality
"Southeast Fairbanks Census Area, Alaska",Alaska,Southeast Fairbanks Census Area
"Apache County, Arizona",Arizona,Apache County
"Wrangell City and Borough, Alaska",Alaska,Wrangell City and Borough
"Yakutat City and Borough, Alaska",Alaska,Yakutat City and Borough
"Yukon-Koyukuk Census Area, Alaska",Alaska,Yukon-Koyukuk Census Area
"Cochise County, Arizona",Arizona,Cochise County
"Coconino County, Arizona",Arizona,Coconino County
"Gila County, Arizona",Arizona,Gila County
"Graham County, Arizona",Arizona,Graham County
"Greenlee County, Arizona",Arizona,Greenlee County
"La Paz County, Arizona",Arizona,La Paz County
"Maricopa County, Arizona",Arizona,Maricopa County
"Mohave County, Arizona",Arizona,Mohave County
"Navajo County, Arizona",Arizona,Navajo County
"Pima County, Arizona",Arizona,Pima County
"Pinal County, Arizona",Arizona,Pinal County
"Santa Cruz County, Arizona",Arizona,Santa Cruz County
"Yavapai County, Arizona",Arizona,Yavapai County
"Yuma County, Arizona",Arizona,Yuma County
"Arkansas County, Arkansas",Arkansas,Arkansas County
"Ashley County, Arkansas",Arkansas,Ashley County
"Baxter County, Arkansas",Arkansas,Baxter County
"Benton County, Arkansas",Arkansas,Benton County
"Boone County, Arkansas",Arkansas,Boone County
"Bradley County, Arkansas",Arkansas,Bradley County
"Calhoun County, Arkansas",Arkansas,Calhoun County
"Carroll County, Arkansas",Arkansas,Carroll County
"Chicot County, Arkansas",Arkansas,Chicot County
"Clark County, Arkansas",Arkansas,Clark County
"Clay County, Arkansas",Arkansas,Clay County
"Cleburne County, Arkansas",Arkansas,Cleburne County
"Cleveland County, Arkansas",Arkansas,Cleveland County
"Columbia County, Arkansas",Arkansas,Columbia County
"Conway County, Arkansas",Arkansas,Conway County
"Craighead County, Arkansas",Arkansas,Craighead County
"Crawford County, Arkansas",Arkansas,Crawford County
"Crittenden County, Arkansas",Arkansas,Crittenden County
"Cross County, Arkansas",Arkansas,Cross County
"Dallas County, Arkansas",Arkansas,Dallas County
"Desha County, Arkansas",Arkansas,Desha County
"Drew County, Arkansas",Arkansas,Drew County
"Faulkner County, Arkansas",Arkansas,Faulkner County
"Franklin County, Arkansas",Arkansas,Franklin County
"Fulton County, Arkansas",Arkansas,Fulton County
"Garland County, Arkansas",Arkansas,Garland County
"Grant County, Arkansas",Arkansas,Grant County
"Greene County, Arkansas",Arkansas,Greene County
"Hempstead County, Arkansas",Arkansas,Hempstead County
"Hot Spring County, Arkansas",Arkansas,Hot Spring County
"Howard County, Arkansas",Arkansas,Howard County
"Independence County, Arkansas",Arkansas,Independence County
"Izard County, Arkansas",Arkansas,Izard County
"Jackson County, Arkansas",Arkansas,Jackson County
"Jefferson County, Arkansas",Arkansas,Jefferson County
"Johnson County, Arkansas",Arkansas,Johnson County
"Lafayette County, Arkansas",Arkansas,Lafayette County
"Lawrence County, Arkansas",Arkansas,Lawrence County
"Lee County, Arkansas",Arkansas,Lee County
"Lincoln County, Arkansas",Arkansas,Lincoln County
"Little River County, Arkansas",Arkansas,Little River County
"Logan County, Arkansas",Arkansas,Logan County
"Lonoke County, Arkansas",Arkansas,Lonoke County
"Madison County, Arkansas",Arkansas,Madison County
"Marion County, Arkansas",Arkansas,Marion County
"Miller County, Arkansas",Arkansas,Miller County
"Mississippi County, Arkansas",Arkansas,Mississippi County
"Monroe County, Arkansas",Arkansas,Monroe County
"Montgomery County, Arkansas",Arkansas,Montgomery County
"Nevada County, Arkansas",Arkansas,Nevada County
"Newton County, Arkansas",Arkansas,Newton County
"Pike County, Arkansas",Arkansas,Pike County
"Ouachita County, Arkansas",Arkansas,Ouachita County
"Perry County, Arkansas",Arkansas,Perry County
"Phillips County, Arkansas",Arkansas,Phillips County
"Poinsett County, Arkansas",Arkansas,Poinsett County
"Polk County, Arkansas",Arkansas,Polk County
"Pope County, Arkansas",Arkansas,Pope County
"Prairie County, Arkansas",Arkansas,Prairie County
